n	p	alpha	c_palpha
30	0.8	0.025	0.336700898
30	0.9	0.025	0.32091628
30	0.95	0.025	0.327296268
30	0.99	0.025	0.362933912
35	0.01	0.025	1.82791872
35	0.05	0.025	1.254325623
35	0.1	0.025	1.008367298
35	0.2	0.025	0.762963021
35	0.3	0.025	0.619596878
35	0.4	0.025	0.519485689
35	0.5	0.025	0.443988905
35	0.6	0.025	0.385789898
35	0.7	0.025	0.342132349
35	0.8	0.025	0.311796464
35	0.9	0.025	0.29964133
35	0.95	0.025	0.307030388
35	0.99	0.025	0.342074798
40	0.01	0.025	1.669335214
40	0.05	0.025	1.147170314
40	0.1	0.025	0.923418644
40	0.2	0.025	0.700182942
40	0.3	0.025	0.570070054
40	0.4	0.025	0.479271438
40	0.5	0.025	0.411066613
40	0.6	0.025	0.358499084
40	0.7	0.025	0.318740803
40	0.8	0.025	0.291861295
40	0.9	0.025	0.282283468
40	0.95	0.025	0.290263612
40	0.99	0.025	0.324161502
45	0.01	0.025	1.545285512
45	0.05	0.025	1.062991005
45	0.1	0.025	0.856306679
45	0.2	0.025	0.65033002
45	0.3	0.025	0.530621442
45	0.4	0.025	0.446881574
45	0.5	0.025	0.383904168
45	0.6	0.025	0.335782042
45	0.7	0.025	0.299631627
45	0.8	0.025	0.275305085
45	0.9	0.025	0.267354169
45	0.95	0.025	0.275711881
45	0.99	0.025	0.30887189
50	0.01	0.025	1.442140898
50	0.05	0.025	0.992819552
50	0.1	0.025	0.800682361
50	0.2	0.025	0.608940031
50	0.3	0.025	0.497662207
50	0.4	0.025	0.419628138
50	0.5	0.025	0.361329233
50	0.6	0.025	0.316672303
50	0.7	0.025	0.283424157
50	0.8	0.025	0.261680951
50	0.9	0.025	0.255225421
50	0.95	0.025	0.263781918
50	0.99	0.025	0.296200801
60	0.01	0.025	1.285686651
60	0.05	0.025	0.886065875
60	0.1	0.025	0.715365302
60	0.2	0.025	0.544966803
60	0.3	0.025	0.446258886
60	0.4	0.025	0.377159282
60	0.5	0.025	0.325839289
60	0.6	0.025	0.286594751
60	0.7	0.025	0.257781864
60	0.8	0.025	0.239148517
60	0.9	0.025	0.234835619
60	0.95	0.025	0.243504174
60	0.99	0.025	0.274523996
70	0.01	0.025	1.16825118
70	0.05	0.025	0.806527137
70	0.1	0.025	0.651588605
70	0.2	0.025	0.497316198
70	0.3	0.025	0.407892317
70	0.4	0.025	0.345459144
70	0.5	0.025	0.298961498
70	0.6	0.025	0.263771344
70	0.7	0.025	0.238009677
70	0.8	0.025	0.221847979
70	0.9	0.025	0.219019048
70	0.95	0.025	0.227940327
70	0.99	0.025	0.257672521
80	0.01	0.025	1.076313191
80	0.05	0.025	0.743516666
80	0.1	0.025	0.601202049
80	0.2	0.025	0.459580842
80	0.3	0.025	0.377523826
80	0.4	0.025	0.320507968
80	0.5	0.025	0.278063918
80	0.6	0.025	0.245996527
80	0.7	0.025	0.222615739
80	0.8	0.025	0.208182064
80	0.9	0.025	0.206217531
80	0.95	0.025	0.214979234
80	0.99	0.025	0.24340284
90	0.01	0.025	1.001955434
90	0.05	0.025	0.692848283
90	0.1	0.025	0.560846989
90	0.2	0.025	0.429285874
90	0.3	0.025	0.353044494
90	0.4	0.025	0.300015483
90	0.5	0.025	0.260647743
90	0.6	0.025	0.230971084
90	0.7	0.025	0.20960596
90	0.8	0.025	0.196617791
